SNr;WallId;MonthNr;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
1;612861008745063;2014-12;1;158;5194;112;30;2;0;2;4;2;5194;158;0;31;158;41;30;30;2652;1;75;2597;11;1;0
2;612861008745063;2015-02;1;41;59;48;16;12;1;1;14;1;59;20;0;25;27;0;16;6;44;20;26;59;7;6;1
3;612861008745063;2015-03;6;385;8648;1106;176;224;235;9;84;9;9194;458;0;166;320;265;176;85;9028;109;310;8573;72;122;176
4;612861008745063;2015-04;3;709;9898;387;535;291;367;6;28;3;9332;684;0;95;699;623;535;534;9719;47;677;8800;318;220;253
5;612861008745063;2015-07;51;1138;13443;939;237;395;261;38;341;62;15533;869;0;1292;833;2902;237;195;14912;1108;738;13161;186;243;188
6;612861008745063;2015-08;69;1188;5318;308;137;554;260;41;481;42;11120;724;0;1245;708;4360;137;131;6316;1195;626;4576;117;282;182
7;612861008745063;2015-09;51;1110;19409;1933;593;607;220;29;358;33;27848;814;0;1645;754;2813;593;423;20857;1557;683;18946;351;313;160
8;612861008745063;2015-10;41;3387;121648;21085;1102;746;360;45;47;40;116354;3046;0;965;3368;9737;1102;1098;64326;522;1646;62290;469;328;162
9;612861008745063;2015-11;55;6760;161688;17346;2858;1121;962;96;268;112;148641;6332;0;1199;6743;17904;2858;2858;83575;149;3129;79998;1185;431;323
10;612861008745063;2015-12;42;4234;63970;9516;1067;582;301;70;247;52;62220;4185;0;507;4228;2910;1067;923;33227;134;1987;31238;507;244;123
11;612861008745063;2016-10;67;3476;44489;3495;1366;904;611;20;189;16;44489;2954;1;506;3465;36509;1366;1348;37786;11;2087;36149;554;484;276
